2025-11-23 12:25:20,758 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/13116). Retrying in 2.0s
2025-11-23 12:25:24,814 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/13116). Retrying in 4.0s
2025-11-23 12:25:28,879 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/13116). Retrying in 8.0s
2025-11-23 12:25:36,881 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/handle/123456789/13116 after 4 retries
2025-11-23 12:25:36,957 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/15269). Retrying in 1.0s
2025-11-23 12:26:00,881 | WARNING | src.phase1_preprocessing.data_collector | Request failed (502 Server Error: Bad Gateway for url: https://www.indiacode.nic.in/handle/123456789/15269). Retrying in 2.0s
2025-11-23 12:26:02,940 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/15269). Retrying in 4.0s
2025-11-23 12:26:07,002 | WARNING | src.phase1_preprocessing.data_collector | Request failed (404 Client Error: Not Found for url: https://www.indiacode.nic.in/handle/123456789/15269). Retrying in 8.0s
2025-11-23 12:26:15,003 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://www.indiacode.nic.in/handle/123456789/15269 after 4 retries
2025-11-23 12:26:15,006 | INFO | src.phase1_preprocessing.data_collector | Collecting Indian Kanoon cases
2025-11-23 12:30:05,031 | INFO | src.phase1_preprocessing.data_collector | Downloading CUAD contracts
2025-11-23 12:30:09,665 | WARNING | src.phase1_preprocessing.data_collector | Request failed (401 Client Error: Unauthorized for url: https://huggingface.co/datasets/lxuechen/cuad/resolve/main/data.zip). Retrying in 1.0s
2025-11-23 12:30:13,077 | WARNING | src.phase1_preprocessing.data_collector | Request failed (401 Client Error: Unauthorized for url: https://huggingface.co/datasets/lxuechen/cuad/resolve/main/data.zip). Retrying in 2.0s
2025-11-23 12:30:17,025 | WARNING | src.phase1_preprocessing.data_collector | Request failed (401 Client Error: Unauthorized for url: https://huggingface.co/datasets/lxuechen/cuad/resolve/main/data.zip). Retrying in 4.0s
2025-11-23 12:30:21,277 | WARNING | src.phase1_preprocessing.data_collector | Request failed (401 Client Error: Unauthorized for url: https://huggingface.co/datasets/lxuechen/cuad/resolve/main/data.zip). Retrying in 8.0s
2025-11-23 12:30:29,279 | ERROR | src.phase1_preprocessing.data_collector | Giving up on https://huggingface.co/datasets/lxuechen/cuad/resolve/main/data.zip after 4 retries
2025-11-23 12:30:29,279 | INFO | src.phase1_preprocessing.data_collector | Collection finished. 11 failures.
2025-11-23 12:30:29,287 | INFO | root | Starting preprocessing
2025-11-23 12:30:45,042 | INFO | src.phase1_preprocessing.preprocessor | Preprocessed 51 documents
2025-11-23 12:30:45,042 | INFO | root | Building FAISS index
2025-11-23 12:30:46,157 | INFO | src.phase1_preprocessing.embedder | Loaded 2645 chunks from processed data
2025-11-23 12:36:35,338 | INFO | src.phase1_preprocessing.embedder | FAISS index built with 2645 vectors
2025-11-23 12:50:32,150 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-11-23 12:50:32,151 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-11-23 12:50:36,676 | INFO | src.phase1_preprocessing.embedder | Loaded embedding model: sentence-transformers/all-MiniLM-L6-v2
2025-11-23 12:50:36,677 | INFO | root | Starting data collection
2025-11-23 12:50:36,677 | INFO | src.phase1_preprocessing.data_collector | Collecting India Code acts
2025-11-23 12:50:36,679 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Indian Penal Code 1860
2025-11-23 12:50:36,681 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Code of Criminal Procedure 1973
2025-11-23 12:50:36,682 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Code of Civil Procedure 1908
2025-11-23 12:50:36,684 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Indian Evidence Act 1872
2025-11-23 12:50:36,685 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Contract Act 1872
2025-11-23 12:50:36,687 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Transfer of Property Act 1882
2025-11-23 12:50:36,689 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Specific Relief Act 1963
2025-11-23 12:50:36,692 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Companies Act 2013
2025-11-23 12:50:36,694 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Information Technology Act 2000
2025-11-23 12:50:36,695 | INFO | src.phase1_preprocessing.data_collector | Skipping existing act: Income Tax Act 1961
2025-11-23 12:50:36,699 | INFO | src.phase1_preprocessing.data_collector | Collecting Indian Kanoon cases
2025-11-23 12:50:37,919 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/123092336/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:37,919 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/160483121/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:37,919 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/124441483/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:37,922 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/89659000/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:37,923 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/41208502/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:37,924 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/128900/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:37,924 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/50958619/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:37,924 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/173069646/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:37,925 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/126914242/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:37,926 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/85501908/?formInput=contract%20termination%20Supreme%20Court
2025-11-23 12:50:40,991 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/1381285/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:40,992 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/142304648/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:40,992 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/128017297/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:40,994 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/141456448/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:40,994 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/3209857/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:40,995 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/15256613/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:40,996 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/146302413/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:40,996 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/82326684/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:40,996 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/78342224/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:40,998 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/157861/?formInput=property%20rights%20Supreme%20Court%20judgments
2025-11-23 12:50:45,038 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/30424145/?formInput=IPC%20Section%20302%20interpretation
2025-11-23 12:50:45,039 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/135095591/?formInput=IPC%20Section%20302%20interpretation
2025-11-23 12:50:45,039 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/151222872/?formInput=IPC%20Section%20302%20interpretation
2025-11-23 12:50:45,040 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/1308127/?formInput=IPC%20Section%20302%20interpretation
2025-11-23 12:50:45,040 | INFO | src.phase1_preprocessing.data_collector | Skipping existing case: https://indiankanoon.org/docfragment/1480735/?formInput=IPC%20Section%20302%20interpretation
